,CH1,CH2,CH3,CH4
,15.2333,451.412,456.716,2.45098
,15.2113,450.333,456.078,2.5
,15.2235,449.794,454.951,2.54902
,15.2431,448.569,453.775,2.64706
,15.2505,447.637,452.745,2.5
,15.275,447,451.912,2.59804
,15.2676,446.02,451.078,2.64706
,15.2333,445.382,450.343,2.54902
,15.2554,444.157,449.069,2.40196
,15.2309,442.98,448.137,2.5
,15.2235,442.147,447.108,2.5
,15.2505,441.265,446.324,2.5
,15.2407,439.843,445.196,2.64706
,15.2284,439.059,444.461,2.45098
,15.2333,437.735,443.186,2.64706
,15.2554,436.951,442.5,2.45098
,15.2382,435.725,441.225,2.35294
,15.2162,434.892,440.098,2.10784
,15.2064,433.814,439.363,2.0098
,15.2211,432.686,438.382,2.2549
,15.2064,431.853,437.5,2.30392
,15.2186,430.578,436.373,2.30392
,15.2309,429.304,435.196,2.54902
,15.2162,428.275,434.069,2.59804
,15.1966,427.441,433.039,2.45098
,15.177,426.265,431.912,2.5
,15.2137,425.088,430.784,2.7451
,15.2137,423.863,429.559,2.59804
,15.2431,423.029,428.284,2.30392
,15.226,421.755,426.863,2.2549
,15.2211,420.578,425.784,2.7451
,15.199,419.304,424.706,2.69608
,15.1843,418.324,423.971,2.45098
,15.1721,417.343,422.206,2.79412
,15.1892,415.971,421.275,2.45098
,15.1843,415.235,420.49,2.54902
,15.1892,414.157,419.412,2.30392
,15.1574,412.882,418.235,2.40196
,15.1843,412.196,417.059,2.79412
,15.1794,411.069,416.029,2.94118
,15.1794,409.892,415.049,2.64706
,15.1721,408.961,413.971,2.59804
,15.1745,407.98,412.843,2.7451
,15.1745,406.412,411.765,2.69608
,15.1868,405.824,410.245,2.79412
,15.199,404.549,409.461,2.40196
,15.1868,403.373,408.627,2.54902
,15.1623,402.343,407.696,2.54902
,15.1868,401.51,406.814,2.5
,15.2333,400.48,405.637,2.69608
,15.199,399.304,404.706,2.59804
,15.1892,398.176,403.382,2.2549
,15.2186,397.294,402.5,2.35294
,15.2064,396.314,401.275,2.35294
,15.1647,395.48,400.294,2.35294
,15.1598,394.353,399.608,2.40196
,15.2039,393.373,398.431,2.45098
,15.1941,392.343,397.402,2.30392
,15.1696,391.804,396.863,2.59804
,15.1475,390.873,395.833,2.69608
,15.1868,389.598,394.804,2.84314
,15.1549,388.912,393.824,2.7451
,15.1525,387.735,392.99,2.54902
,15.1525,386.657,392.157,2.5
,15.1402,385.382,391.127,2.30392
,15.1623,384.598,390.539,2.5
,15.1574,383.471,389.461,2.40196
,15.1672,382.784,388.333,2.59804
,15.1721,381.706,387.598,2.59804
,15.1328,380.725,386.716,2.10784
,15.177,379.794,385.686,2.15686
,15.2039,378.765,384.853,2.35294
,15.1696,378.029,383.775,2.15686
,15.1353,376.902,382.99,2.2549
,15.1794,376.118,382.304,2.15686
,15.1672,375.039,380.98,2.2549
,15.1328,373.961,380.049,2.40196
,15.1328,372.588,379.314,2.15686
,15.123,371.755,377.99,1.76471
,15.1426,370.873,377.059,1.96078
,15.1279,369.843,375.784,2.10784
,15.177,369.01,375.049,2.30392
,15.1745,368.029,373.922,2.2549
,15.1206,367.392,372.745,1.86275
,15.1353,366.314,371.765,2.0098
,15.123,365.235,370.686,1.91176
,15.1255,364.451,370.147,2.20588
,15.1353,363.324,369.02,2.05882
,15.0961,361.804,367.794,2.35294
,15.1181,360.676,366.765,2.0098
,15.1279,359.304,365.343,2.0098
,15.0936,358.127,364.412,2.0098
,15.0887,357.245,363.284,1.91176
,15.0789,356.265,362.451,2.30392
,15.1206,355.088,360.98,2.2549
,15.1402,354.157,359.657,2.35294
,15.1525,352.882,358.627,2.2549
,15.0863,351.51,357.353,2.05882
,15.101,350.431,356.275,1.47059
,15.1108,349.255,354.951,2.0098
,15.1181,348.225,353.529,2.30392
,15.1402,346.853,352.5,2.40196
,15.1132,345.578,351.029,2.15686
,15.1059,344.451,349.902,2.05882
,15.0838,343.176,348.627,1.66667
,15.1206,342.245,347.402,1.96078
,15.1328,340.971,346.176,2.05882
,15.123,339.647,344.755,1.96078
,15.1157,338.52,343.431,1.96078
,15.123,337.294,342.059,1.86275
,15.1083,335.775,340.588,1.71569
,15.0912,334.353,339.167,2.0098
,15.1059,333.275,337.941,2.0098
,15.1206,332.049,336.275,2.0098
,15.123,330.333,335.343,2.05882
,15.0887,328.961,333.873,1.96078
,15.1108,327.833,332.745,2.30392
,15.1181,326.51,331.422,2.10784
,15.1132,325.088,330.098,1.66667
,15.1157,323.765,328.529,1.81373
,15.0985,322.245,327.01,1.86275
,15.0765,320.922,326.078,1.71569
,15.1108,319.696,324.559,1.66667
,15.074,318.078,323.382,1.66667
,15.1181,316.657,321.912,1.61765
,15.0765,315.627,320.196,1.61765
,15.074,313.863,318.971,2.0098
,15.1132,312.735,317.451,2.05882
,15.1059,311.363,316.029,2.05882
,15.1181,309.941,314.804,2.05882
,15.0887,309.01,313.676,1.61765
,15.0691,307.539,312.01,1.81373
,15.0642,305.725,310.441,1.96078
,15.101,304.157,309.216,1.81373
,15.0789,302.833,307.843,2.2549
,15.0667,301.265,306.422,2.5
,15.0912,299.843,305,2.20588
,15.0348,297.98,303.529,2.10784
,15.0446,296.608,302.206,1.71569
,15.052,295.088,300.539,1.66667
,15.1034,293.912,299.363,1.81373
,15.074,292.392,297.696,1.86275
,15.0765,290.873,296.324,1.56863
,15.0593,289.402,295.049,1.66667
,15.0201,287.882,293.775,1.71569
,15.0544,286.608,292.01,1.76471
,15.0863,284.696,290.392,1.86275
,15.074,283.569,289.118,1.66667
,15.0569,282.147,287.745,1.66667
,15.0544,280.775,286.422,1.81373
,15.0471,279.5,284.657,1.56863
,15.0471,277.49,283.088,1.81373
,15.052,276.412,281.765,1.96078
,15.0152,275.137,280.049,1.76471
,15.0299,273.324,278.676,1.71569
,15.052,272.098,277.157,1.96078
,15.0201,270.725,275.588,2.0098
,15.0397,269.402,273.971,1.66667
,15.0299,267.833,272.941,1.76471
,15.0275,266.608,271.471,1.56863
,14.9956,265.284,270.098,1.86275
,15.0471,263.618,268.578,1.66667
,15.0667,261.755,267.01,1.71569
,15.052,260.431,265.539,1.61765
,15.0054,259.353,264.069,1.71569
,15.0054,258.324,263.039,1.61765
,15.0201,256.657,261.52,1.66667
,15.0324,255.235,260.343,1.86275
,15.025,253.716,258.775,1.37255
,15.0324,252.196,257.5,1.71569
,15.025,250.725,256.373,1.27451
,15.0225,249.451,254.706,1.51961
,15.0495,247.98,252.941,1.56863
,15.052,246.608,251.422,1.66667
,15.025,245.333,249.853,1.47059
,15.0275,243.716,248.48,1.37255
,14.9956,242.343,247.01,1.42157
,15.0324,241.167,245.686,1.37255
,14.9931,239.696,244.363,1.12745
,15.0127,238.176,242.892,1.07843
,14.998,236.804,241.716,1.56863
,14.9588,235.48,240.245,1.22549
,15.0029,233.961,239.118,1.37255
,14.9882,233.029,237.598,1.42157
,14.9858,231.657,236.029,1.37255
,14.9784,230.186,234.804,1.56863
,14.9392,228.912,233.333,1.37255
,14.9637,227.784,231.765,1.32353
,14.9956,226.706,230.833,1.12745
,14.9539,225.235,229.314,1.17647
,14.9466,223.961,227.794,1.22549
,14.9956,222.539,226.667,1.56863
,14.9564,221.461,225.588,1.32353
,15.0201,220.235,224.167,1.61765
,14.998,218.569,222.745,1.37255
,14.9882,217.49,221.765,1.37255
,14.9809,215.824,220.294,1.37255
,14.9833,214.892,218.873,1.56863
,15.0225,213.667,217.598,1.66667
,14.9564,212.392,216.324,1.17647
,14.9686,211.265,215.147,1.12745
,14.9686,209.843,213.922,1.22549
,14.9441,208.618,212.794,1.37255
,14.9662,207.343,211.324,1.32353
,14.9809,205.873,210.049,1.47059
,14.9858,204.843,209.069,1.22549
,14.9833,203.569,207.794,1.17647
,14.9735,202.49,206.814,0.931373
,14.9735,201.265,205.882,1.27451
,14.9784,199.99,204.412,0.931373
,14.9931,198.814,203.333,0.931373
,14.9809,197.49,201.912,0.735294
,14.976,196.314,200.882,0.539216
,14.9686,195.284,199.559,1.12745
,14.9686,194.451,198.431,1.02941
,14.9784,193.373,197.255,1.07843
,14.9809,192.245,196.078,0.931373
,14.976,191.02,194.951,0.931373
,14.9956,189.941,193.873,0.637255
,14.9662,188.324,192.598,0.784314
,14.9613,187.392,191.324,1.07843
,14.9882,185.725,190.049,0.931373
,14.9613,184.353,188.676,0.784314
,14.9711,183.471,187.255,1.07843
,14.998,182.392,186.373,0.833333
,14.9515,180.971,185,0.686275
,14.927,179.353,183.873,1.22549
,14.9392,178.373,182.696,0.882353
,14.949,177.392,181.716,1.07843
,14.9221,176.02,180.882,0.784314
,14.9392,174.941,179.216,1.07843
,14.9539,173.765,177.941,1.22549
,14.927,172.294,176.618,1.07843
,14.9368,171.069,175.49,0.637255
,14.949,169.696,174.412,0.343137
,14.9123,168.765,172.892,0.294118
,14.9074,167.588,171.863,1.02941
,14.9588,166.363,170.833,0.784314
,14.9123,165.137,169.657,0.882353
,14.8926,163.863,168.333,1.12745
,14.9245,162.882,167.402,1.02941
,14.9613,161.657,165.98,1.02941
,14.949,160.431,164.51,0.784314
,14.927,159.206,163.627,0.931373
,14.8926,158.275,162.157,0.882353
,14.9221,157.049,160.833,1.17647
,14.9466,155.725,159.608,1.37255
,14.9319,154.353,158.578,1.12745
,14.8951,153.275,157.402,0.931373
,14.9025,152.098,156.324,1.22549
,14.9123,151.216,155.441,0.980392
,14.9343,149.941,154.118,1.02941
,14.9049,148.667,152.598,1.02941
,14.8951,147.735,151.225,1.17647
,14.8951,146.216,150.539,1.17647
,14.873,145.186,149.412,0.980392
,14.9319,143.912,148.333,0.931373
,14.9245,142.735,146.863,1.17647
,14.9221,141.51,145.686,1.27451
,14.9098,140.186,144.559,0.931373
,14.8632,139.304,143.431,0.980392
,14.8926,137.882,141.863,0.588235
,14.8608,136.314,140.637,1.07843
,14.8853,135.235,139.265,1.12745
,14.8657,133.961,137.647,0.980392
,14.9025,132.931,136.569,0.833333
